,Framed group,Domain-specific,Efficiency-Productivity-Squandering,HDBSCAN all values,HDBSCAN objective,K-Medioids g0 allvalues,K-Medioids g2 allvalues,K-Medioids 2-0 objective,TOPSIS,Weighted sum,MoSCoW_M_%,MoSCoW_S_%,MoSCoW_C_%,MoSCoW_W_%
New File,80.8411214953271,80.8411214953271,100.0,80.8411214953271,80.8411214953271,80.8411214953271,80.8411214953271,80.8411214953271,100.0,100.0,100.0,0.0,0.0,0.0
Close File,90.18691588785047,90.18691588785047,100.0,90.18691588785047,90.18691588785047,90.18691588785047,90.18691588785047,90.18691588785047,100.0,100.0,83.33333333333334,8.333333333333332,8.333333333333332,0.0
Open+Save(+SaveAs),97.19626168224299,97.19626168224299,100.0,97.19626168224299,97.19626168224299,97.19626168224299,97.19626168224299,97.19626168224299,100.0,100.0,77.77777777777779,19.444444444444446,0.0,2.7777777777777777
Print File,18.69158878504673,18.69158878504673,10.0,18.69158878504673,18.69158878504673,18.69158878504673,18.69158878504673,18.69158878504673,25.0,5.0,66.66666666666666,33.33333333333333,0.0,0.0
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0
Cut+Copy+Paste,65.42056074766354,65.42056074766354,100.0,65.42056074766354,65.42056074766354,65.42056074766354,65.42056074766354,65.42056074766354,100.0,100.0,61.111111111111114,27.77777777777778,11.11111111111111,0.0
Undo a Task,36.915887850467286,36.915887850467286,100.0,36.915887850467286,36.915887850467286,36.915887850467286,36.915887850467286,36.915887850467286,95.0,100.0,50.0,41.66666666666667,8.333333333333332,0.0
Redo a Task,17.75700934579439,17.75700934579439,100.0,17.75700934579439,17.75700934579439,17.75700934579439,17.75700934579439,17.75700934579439,60.0,100.0,50.0,41.66666666666667,8.333333333333332,0.0
Set Options,35.981308411214954,35.981308411214954,50.0,35.981308411214954,35.981308411214954,35.981308411214954,35.981308411214954,35.981308411214954,60.0,40.0,25.0,58.333333333333336,16.666666666666664,0.0
Select All,97.66355140186917,97.66355140186917,100.0,97.66355140186917,97.66355140186917,97.66355140186917,97.66355140186917,97.66355140186917,100.0,100.0,33.33333333333333,41.66666666666667,25.0,0.0
Font,78.97196261682244,78.97196261682244,100.0,78.97196261682244,78.97196261682244,78.97196261682244,78.97196261682244,78.97196261682244,100.0,100.0,41.66666666666667,33.33333333333333,16.666666666666664,8.333333333333332
Table functions,85.51401869158879,85.51401869158879,100.0,85.51401869158879,85.51401869158879,85.51401869158879,85.51401869158879,85.51401869158879,100.0,100.0,38.88888888888889,30.555555555555557,22.22222222222222,8.333333333333332
Change Case,22.429906542056074,22.429906542056074,30.0,22.429906542056074,22.429906542056074,22.429906542056074,22.429906542056074,22.429906542056074,45.0,35.0,33.33333333333333,41.66666666666667,16.666666666666664,8.333333333333332
