,Framed group,Domain-specific,Efficiency-Productivity-Squandering,HDBSCAN all values,HDBSCAN objective,K-Medioids g0 allvalues,K-Medioids g2 allvalues,K-Medioids 2-0 objective,TOPSIS,Weighted sum,Must (students)
Open+Save(+SaveAs),97.19626168224299,97.19626168224299,100.0,97.19626168224299,97.19626168224299,97.19626168224299,97.19626168224299,97.19626168224299,100.0,100.0,28
Cut+Copy+Paste,65.42056074766354,65.42056074766354,100.0,65.42056074766354,65.42056074766354,65.42056074766354,65.42056074766354,65.42056074766354,100.0,100.0,22
Table functions,85.51401869158879,85.51401869158879,100.0,85.51401869158879,85.51401869158879,85.51401869158879,85.51401869158879,85.51401869158879,100.0,100.0,14
New File,80.8411214953271,80.8411214953271,100.0,80.8411214953271,80.8411214953271,80.8411214953271,80.8411214953271,80.8411214953271,100.0,100.0,12
Close File,90.18691588785047,90.18691588785047,100.0,90.18691588785047,90.18691588785047,90.18691588785047,90.18691588785047,90.18691588785047,100.0,100.0,10
Print File,18.69158878504673,18.69158878504673,10.0,18.69158878504673,18.69158878504673,18.69158878504673,18.69158878504673,18.69158878504673,25.0,5.0,8
Exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Undo a Task,36.915887850467286,36.915887850467286,100.0,36.915887850467286,36.915887850467286,36.915887850467286,36.915887850467286,36.915887850467286,95.0,100.0,6
Redo a Task,17.75700934579439,17.75700934579439,100.0,17.75700934579439,17.75700934579439,17.75700934579439,17.75700934579439,17.75700934579439,60.0,100.0,6
Header/Footer/PageNumber,78.97196261682244,78.97196261682244,100.0,78.97196261682244,78.97196261682244,78.97196261682244,78.97196261682244,78.97196261682244,100.0,100.0,6
Check Grammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Font,78.97196261682244,78.97196261682244,100.0,78.97196261682244,78.97196261682244,78.97196261682244,78.97196261682244,78.97196261682244,100.0,100.0,5
Zoom,6.5420560747663545,6.5420560747663545,30.0,6.5420560747663545,6.5420560747663545,6.5420560747663545,6.5420560747663545,6.5420560747663545,20.0,20.0,4
